ID,Price,Security_deposit,Cleaning_fee,Extra_people_price,accommodates,review_accuracy,review_cleanliness,review_checkin,review_communication,review_location,review_value,reviews_per_month,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,bed_type,amentities_2,allston.nhbr,back_bay.nhbr,beacon_hill.nhbr,brighton.nhbr,dorchester.nhbr,downtown.nhbr,east_boston.nhbr,fenway.nhbr,jamica_plain.nhbr,south_boston.nhbr,south_end.nhbr,nhbr.others,cancellation_strict,cancellation_moderate,cancellation_flexible,instant_bookable
50032,$725.00 ,$500.00 ,$130.00 ,$0.00 ,12,9,9,9,9,10,9,0.26,42.31591116,-71.11275691,Apartment,Entire home/apt,2,4,5,Real Bed,"['Cable TV', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Pets Allowed', 'Washer / Dryer', 'Indoor Fireplace', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60356,$175.00 ,"$1,000.00 ",$150.00 ,$0.00 ,2,9,9,10,10,10,9,0.15,42.35711748,-71.06179966,Condominium,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Doorman', 'Elevator in Building', 'Heating', 'Washer', 'Dryer', 'Smoke Detector']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
67774,$110.00 ,"$1,000.00 ",$250.00 ,$0.00 ,3,10,9,10,10,10,9,0.24,42.35866925,-71.06331527,Apartment,Entire home/apt,1,1,1,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Doorman', 'Elevator in Building', 'Heating', 'Washer', 'Dryer', 'Smoke Detector']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
70481,$175.00 ,"$1,000.00 ",$150.00 ,$0.00 ,2,10,9,10,9,10,9,0.09,42.35738233,-71.06161726,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Doorman', 'Elevator in Building', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Essentials', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
77691,$65.00 ,$100.00 ,$10.00 ,$15.00 ,3,9,9,9,9,8,9,2.89,42.29770901,-71.05979096,House,Private room,1.5,1,1,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo', 'Lock on Bedroom Door', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
91588,$80.00 ,$100.00 ,$25.00 ,$35.00 ,2,9,10,10,9,9,9,0.12,42.31357973,-71.04696815,Condominium,Private room,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Pets live on this property', 'Dog(s)', 'Buzzer/Wireless Intercom', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
115936,$525.00 ,$500.00 ,$130.00 ,$0.00 ,12,7,8,8,8,9,7,0.13,42.31557614,-71.11305745,Apartment,Entire home/apt,1,4,1,Real Bed,"['TV', 'Wireless Internet', 'Kitchen', 'Pets Allowed', 'Heating', 'Family/Kid Friendly']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
160572,$450.00 ,$500.00 ,$50.00 ,$0.00 ,6,10,10,10,10,10,10,0.04,42.33324331,-71.04199974,House,Entire home/apt,2.5,3,3,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Indoor Fireplace', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Hangers', 'Hair Dryer', 'Iron']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
169430,$150.00 ,$500.00 ,$80.00 ,$25.00 ,10,9,9,10,10,8,9,1.71,42.32158165,-71.09047218,House,Entire home/apt,2,4,6,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Pool', 'Kitchen', 'Free Parking on Premises', 'Pets Allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'First Aid Kit', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
176006,$60.00 ,$100.00 ,$20.00 ,$10.00 ,2,10,10,10,9,7,9,1.46,42.31434404,-71.0735016,House,Private room,1,1,1,Real Bed,"['Wireless Internet', 'Kitchen', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'translation missing: en.hosting_amenity_50']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
177129,$69.00 ,$100.00 ,$40.00 ,$20.00 ,3,9,10,10,10,9,9,2.14,42.29342799,-71.06773096,House,Private room,1.5,1,1,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Breakfast', 'Pets live on this property', 'Dog(s)', 'Indoor Fireplace', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'First Aid Kit', 'Safety Card', 'Fire Extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
179244,$70.00 ,$100.00 ,$10.00 ,$20.00 ,2,9,8,9,9,8,9,1.33,42.29780455,-71.05892761,House,Private room,1.5,1,1,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Kitchen', 'Breakfast', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
179245,$70.00 ,$100.00 ,$10.00 ,$20.00 ,2,9,9,9,9,8,9,0.55,42.29915433,-71.05878564,House,Private room,1.5,1,1,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Breakfast', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
197972,$145.00 ,$250.00 ,$40.00 ,$20.00 ,3,10,10,10,10,10,10,3.86,42.31732135,-71.10833825,House,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
200265,$79.00 ,$100.00 ,$40.00 ,$20.00 ,3,9,10,10,10,9,9,1.96,42.29362568,-71.06652076,House,Private room,1.5,1,1,Real Bed,"['Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Breakfast', 'Pets live on this property', 'Dog(s)', 'Indoor Fireplace', 'Heating', 'Family/Kid Friendly', 'Smoke Detector', 'First Aid Kit', 'Safety Card', 'Fire Extinguisher', 'Shampoo', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
205894,$65.00 ,$100.00 ,$10.00 ,$15.00 ,2,9,9,9,9,8,9,2.05,42.29849091,-71.05880244,House,Private room,1.5,1,1,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
210097,$100.00 ,$100.00 ,$50.00 ,$0.00 ,2,10,10,10,10,10,10,1.9,42.3186354,-71.10640628,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Buzzer/Wireless Intercom', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
217498,$110.00 ,$100.00 ,$15.00 ,$15.00 ,2,10,10,10,10,9,9,2.03,42.35257298,-71.1505652,Apartment,Private room,1,1,1,Real Bed,"['TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Free Parking on Premises', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
